group,Acc (thr=0.018),Acc (thr=0.018) (low),Acc (thr=0.018) (high),Acc (thr=0.018) pval,Acc (thr=0.018) effect,p(y=1|G=g),p(y=1|G=g) (low),p(y=1|G=g) (high),BS,BS (low),BS (high),BS (bal),BS (bal) (low),BS (bal) (high),AUROC,AUROC (low),AUROC (high),AUROC pval,AUROC effect,pAUPRG(recgmin=0.9),pAUPRG(recgmin=0.9) (low),pAUPRG(recgmin=0.9) (high),DRMSCE,DRMSCE (low),DRMSCE (high),Count
age=20-44,0.896696137738483,0.8831123075278345,0.9088642651149007,0.2733333333333334,0.02810128462985173,0.009306654257794323,0.006363424848766869,0.011423918101442531,0.012035700587768872,0.009822782928695019,0.014043822887332809,0.44613930452923695,0.39081824710525115,0.46206793678934327,0.8479333020197276,0.792613338075017,0.9032533659121046,0.8567164179104477,-0.01496434211730957,0.0835382262844198,,,0.02159586098434782,0.00735598337470066,0.02471619236322631,2149.0
"age=20-44, sex=0",0.9114893617021277,0.8938789599381338,0.9264179449292782,0.2733333333333334,0.049822695035460995,0.006808510638297872,0.003404255319148936,0.007468085106382979,0.010042840358333239,0.005498274652384243,0.014467805406802425,0.42426821861619696,0.3275992666487265,0.47065767737865843,0.8363324764353042,0.7397092983722181,0.9329555823803454,0.8567164179104477,-0.03526037931442261,,,,0.02593186557885848,0.01037444810233064,0.04473083757158779,1175.0
"age=20-44, sex=1",0.8788501026694046,0.8568558452524954,0.8978677281272324,0.9710526315789474,0.0012888832790997062,0.012320328542094456,0.009471252566735113,0.019609856262833677,0.014439818421020377,0.007513569832265511,0.016955248688524372,0.46057737966641865,0.43147560910212096,0.487485735340199,0.8550762300762301,0.796723347238966,0.9134290403800526,1.0,0.0029021501541137695,0.0775549168188961,,,0.012592616499924868,0.002053117616962313,0.025410475001347167,974.0
"age=20-44, site=H/N",0.7789473684210526,0.6855857690767467,0.8506264705275474,0.2733333333333334,-0.09434697855750485,0.021052631578947368,0.010526315789473684,0.04789473684210527,0.04311339464812545,0.03278882739340068,0.09124490080390663,0.5074733704449084,0.4990533343820657,0.5138581497874991,0.6720430107526881,0.5761178346401675,0.7679682163470761,0.43157894736842106,-0.1807880401611328,,,,0.024999253569141226,0.0,0.0751971450726837,95.0
"age=20-44, site=LE",0.9077212806026366,0.8800906315122288,0.9294950744178037,0.2733333333333334,0.04921913204523942,0.013182674199623353,0.01172316384180791,0.02175141242937853,0.014721086212375497,0.007511117278506324,0.02119463743767034,0.463827260802601,0.41652032967683844,0.4873917125306647,0.8669574700109052,0.803257621636187,0.9306573497154366,1.0,0.0011417269706726074,,,,0.00794448480456782,0.004111071683339758,0.017193341871387786,531.0
"age=20-44, site=P/S",0.9090909090909091,0.7218505315839417,0.9747045710090046,0.6693877551020408,0.0406759102411276,0.0,0.0,0.0,0.009676254647722777,2.8072220572932543e-05,0.019241041823164856,,,,,,,,,,,,0.03395523482614629,0.0006393409929389259,0.10934231325561058,22.0
"age=20-44, site=TO",0.9057777777777778,0.8872991160446891,0.9214947078053096,0.2733333333333334,0.03817871017871022,0.008,0.0044444444444444444,0.012444444444444444,0.009022639997802088,0.006396913668394649,0.014002740270917911,0.40766612955731457,0.35569447682493605,0.4755892563295165,0.8909796893667862,0.7927284471522942,0.989230848120533,0.8986301369863015,0.019685328006744385,,,,0.005582800884807611,0.0,0.024247933870662916,1125.0
"age=20-44, site=UE",0.8975903614457831,0.8602994566259493,0.9257857424052688,0.2733333333333334,0.026503805276353987,0.006024096385542169,0.0,0.00835843373493976,0.008378475657546408,0.004056942664327622,0.013138467671912613,0.4997547009590784,0.49895249701909145,0.5010064033434423,0.7545454545454545,0.6707013612606256,0.838389539160517,0.43157894736842106,-0.10759115219116211,,,,0.014006916597830689,0.0,0.03645129824531396,332.0
"age=20-44, site=nan",0.8064516129032258,0.6371974218820453,0.908129916384139,0.6693877551020408,-0.06278093984428179,0.0,0.0,0.0,0.0028175832774522845,0.0020116767030159645,0.006066585481560452,,,,,,,,,,,,0.034790555724859715,0.014910489795343011,0.0843651323101287,31.0
age=45-64,0.8866176940274673,0.8750348921778823,0.8972529672887855,0.2733333333333334,0.016861167186751458,0.014691791759821143,0.009230277866496328,0.01784573618652188,0.0166926931056803,0.013050072488322547,0.019604828667622063,0.406127277553179,0.34485145458868816,0.4294495236262788,0.8702064688887323,0.8288665116292138,0.9115463196772438,0.8065573770491803,0.013469994068145752,0.08653008203375295,0.08092909416417027,0.09185645946521544,0.02249468291686255,0.0071756069460286185,0.023629211881527744,3131.0
"age=45-64, sex=0",0.89354624085163,0.8769383493051351,0.9081475620725995,0.2733333333333334,0.03959435081726581,0.014637391882900865,0.009248170326014637,0.022754491017964076,0.016162735424904612,0.011297611519376798,0.02190783396331954,0.4129109449247948,0.3935544743205497,0.464908638269209,0.8778773555951138,0.8131551362131294,0.942599573030645,0.8986301369863015,0.008548557758331299,0.0877268380094217,,,0.007968600785878816,0.0004042078217855244,0.02180642586020535,1503.0
"age=45-64, sex=1",0.8802211302211302,0.863546504735039,0.8951056261494668,0.8567164179104477,-0.00680815848179861,0.014742014742014743,0.011471130221130221,0.01937960687960688,0.017181959932588114,0.012674879082839258,0.021274448229193676,0.3999112617636921,0.3606934947670149,0.4119751021446523,0.8635442643391521,0.8095848037324976,0.91750376686229,0.5857142857142856,0.0219537615776062,0.08673711958465051,0.07609501837216955,0.0919675393620467,0.021694921864894946,0.009787401655120832,0.029136420354025274,1628.0
"age=45-64, site=H/N",0.8439306358381503,0.7824508622659807,0.8904682642418953,0.2733333333333334,-0.0332568641618497,0.03468208092485549,0.023121387283236993,0.06228323699421965,0.022244150990129937,0.014380563564172876,0.03801385914068404,0.2680512735051547,0.14040936349793703,0.3072479270473702,0.9251497005988024,0.8316960619009601,1.0,0.6693877551020408,0.07225769758224487,0.09380616013482017,,,0.0,0.0,0.02409748530124108,173.0
"age=45-64, site=LE",0.92336217552534,0.9029648206444066,0.9397579422838375,0.2733333333333334,0.056878228775144146,0.011124845488257108,0.006458590852904821,0.016749072929542645,0.01106859996825927,0.007649604846245236,0.01589976598305058,0.39530882710649157,0.2822136365809346,0.46928949318548885,0.9095833333333333,0.8017803705969497,1.0,0.6693877551020408,0.038600802421569824,0.06894757201207327,,,0.0,0.0,0.01870879503850591,809.0
"age=45-64, site=P/S",0.8620689655172413,0.6944100627964798,0.9450256003588804,1.0,-0.007148116333292487,0.0,0.0,0.0,0.0003467252836272256,8.690511226285699e-05,0.0009070069237550967,,,,,,,,,,,,0.010827762833509808,0.005264913385764329,0.017331708443517817,29.0
"age=45-64, site=TO",0.8806431663574521,0.8639318336512382,0.895550220130667,0.2733333333333334,0.02444981288313186,0.013605442176870748,0.00694186765615337,0.015460729746444033,0.017767796245749427,0.01454970113000254,0.02668624907436261,0.42703644880570113,0.38875253859741116,0.4688245652886654,0.8518381305215161,0.7893989655475396,0.9142772582073432,0.8567164179104477,0.011165022850036621,0.08052339640487959,0.05955017365553445,0.08891063660851768,0.028923956641465874,0.007156539681632315,0.03746621966901361,1617.0
"age=45-64, site=UE",0.8598130841121495,0.8237115448816289,0.889513166893637,0.8567164179104477,-0.008797550536221,0.018691588785046728,0.014544392523364485,0.03399532710280374,0.021310930413493273,0.014747110786086707,0.03033094646026728,0.4538296964105016,0.42563406144988264,0.4874687168168505,0.8273809523809523,0.7288014900321143,0.9259604204064233,0.7321428571428571,-0.02507805824279785,0.07756449216118791,,,0.0,0.0,0.017701782661058815,428.0
"age=45-64, site=nan",0.8955223880597015,0.7996871695126198,0.9484623023121714,0.7321428571428571,0.02382651636382982,0.014925373134328358,0.0,0.0414179104477612,0.02297298597311696,0.01074237789291966,0.05637112049246413,0.4916331718448305,0.4899388047647492,0.49656771215521783,,,,,,,,,0.0,0.0,0.08528870382827858,67.0
age=65+,0.8244897959183674,0.8021823892588992,0.8447684393394076,0.2733333333333334,-0.0656324994720372,0.04081632653061224,0.03428571428571429,0.051244897959183675,0.03878106741129617,0.033414065728499524,0.048193811679014674,0.3562800469234514,0.3119007138841469,0.379883983060903,0.8411404255319149,0.7879818012974125,0.8942990967967648,0.8065573770491803,-0.022715330123901367,0.0807042511233137,0.07140418051734004,0.0888632351155932,0.02196759184429809,0.001302713286640028,0.033743023999138776,1225.0
